name,sku,description,category,price,stock,weight_kg
Coasters Set,CO-013,Set of 6 absorbent stone coasters with cork base,Home & Office,15.99,170,0.9
Dog Leash,DL-045,"Retractable dog leash, 5m, for dogs up to 30kg",Pets,18.99,230,0.25
Vitamin D3,VD-018,"Vitamin D3 1000IU, 365 tablets, one year supply",Health,11.99,300,0.15
Bike Light Set,BL-009,"USB rechargeable front and rear bike lights, IPX5",Sports,19.99,160,0.12
Picture Frame,PF-032,"Wooden picture frame, 20x25cm, with glass front",Home & Office,9.99,400,0.5
Bluetooth Speaker,BS-021,"Portable waterproof speaker, 10W, 12hr battery",Electronics,59.99,110,0.8
Tape Measure,TAP-014,"5m retractable tape measure, metric + imperial",Tools,6.99,500,0.2
Umbrella,UM-006,"Windproof compact folding umbrella, auto open/close",Accessories,16.99,350,0.35
Mouse Pad,MPD-021,"Extended mouse pad, 800x300mm, stitched edges",Electronics,11.99,400,0.3
Herb Garden Kit,HG-011,"Indoor herb growing kit, 5 varieties, self-watering",Outdoors,27.99,80,1.5
Phone Stand,PST-017,Adjustable aluminum phone/tablet stand,Electronics,13.99,250,0.2
Tote Bag,TB-028,"Canvas tote bag with zipper, internal pocket",Accessories,11.99,450,0.3
Sleep Mask,SM-034,Contoured silk sleep mask with adjustable strap,Beauty,8.99,300,0.04
Pencil Case,PCL-040,"Leather pencil case, holds 20+ pens, zip closure",Stationery,14.99,200,0.12
Mini Projector,PRJ-001,"Portable mini projector, 1080p, HDMI + WiFi",Electronics,199.99,30,0.9
